"Date","Building","Strategy","MAPE"
2013-01-23,"ALM","GTR",0.0619287037246262
2013-01-25,"ALM","GTR",0.115153133589787
2013-01-29,"ALM","GTR",0.0901528625288985
2013-01-31,"ALM","GTR",0.042295773282263
2013-02-04,"ALM","VFD",0.187467809003585
2013-02-06,"ALM","VFD",0.0814726319183115
2013-02-08,"ALM","VFD",0.107096153035281
2013-02-12,"ALM","VFD",0.0961618919434315
2013-02-14,"ALM","VFD",0.0625901969990602
2013-02-26,"ALM","GTR & VFD",0.188400904950188
2013-02-28,"ALM","GTR & VFD",0.132047739598918
2013-03-04,"ALM","GTR",0.0789705660936108
2013-03-06,"ALM","GTR",0.0362957264975155
2013-03-08,"ALM","GTR",0.259087190455066
2013-03-12,"ALM","GTR",0.976710503143187
2013-03-18,"ALM","VFD",0.0824532995925245
2013-03-20,"ALM","VFD",0.0843591071417431
2013-03-22,"ALM","VFD",0.203226402462452
2013-03-26,"ALM","VFD",0.127914426013169
2013-03-28,"ALM","VFD",0.183959514416147
2013-04-01,"ALM","GTR & VFD",0.0766202931546753
2013-04-03,"ALM","GTR & VFD",0.0757205586043067
2013-04-05,"ALM","GTR & VFD",0.0528997804705595
2013-04-09,"ALM","GTR & VFD",0.176842235186054
2013-04-11,"ALM","GTR & VFD",0.084911509726371
2013-10-22,"ALM","GTR",0.106799525317102
2013-10-24,"ALM","GTR",0.097259843232101
2013-10-28,"ALM","VFD",0.109474826341028
2013-11-01,"ALM","VFD",0.125826634707321
2013-11-05,"ALM","VFD",0.106588714841501
2013-11-07,"ALM","VFD",0.135796433678401
2013-11-11,"ALM","GTR & VFD",0.228314794351361
2013-11-13,"ALM","GTR & VFD",0.171164617430228
2013-11-15,"ALM","GTR & VFD",0.114201146652534
2013-11-19,"ALM","GTR & VFD",0.0516309034434213
2013-11-21,"ALM","GTR & VFD",0.0943957738969423
2013-12-02,"ALM","GTR",0.23979936903013
2013-12-04,"ALM","GTR",0.0650297749054312
2013-12-06,"ALM","GTR",0.0889171669784802
2013-03-18,"ASC","GTR",0.0463326909703465
2013-03-20,"ASC","GTR",0.0589762992384401
2013-03-22,"ASC","GTR",0.0529566217747445
2013-03-26,"ASC","GTR",0.0407217300890233
2013-03-28,"ASC","GTR",0.0416353142470614
2013-04-01,"ASC","VFD",0.0739856078679161
2013-04-03,"ASC","VFD",0.081452478632387
2013-04-05,"ASC","VFD",0.189672790972056
2013-04-09,"ASC","VFD",0.0500639416889289
2013-04-11,"ASC","VFD",0.0600312200953459
2013-04-15,"ASC","DUTY",0.0469547215633152
2013-04-17,"ASC","DUTY",0.107183481186151
2013-04-19,"ASC","DUTY",0.0752479446023789
2013-04-23,"ASC","DUTY",0.0678465610000645
2013-04-25,"ASC","DUTY",0.235954175465641
2013-05-20,"ASC","GTR & VFD",0.0605311571625219
2013-05-22,"ASC","GTR & VFD",0.0462211888564338
2013-05-24,"ASC","GTR & VFD",0.148492015112645
2013-05-28,"ASC","GTR & VFD",0.0573310621455974
2013-05-30,"ASC","GTR & VFD",0.052632361671512
2013-06-03,"ASC","GTR & DUTY",0.0456253750284881
2013-06-05,"ASC","GTR & DUTY",0.0446246374793096
2013-06-07,"ASC","GTR & DUTY",0.0524552227008768
2013-06-09,"ASC","GTR & VFD",0.138828300308717
2013-06-10,"ASC","VFD & DUTY",0.0680949207579067
2013-06-12,"ASC","VFD & DUTY",0.0943964139582404
2013-06-14,"ASC","VFD & DUTY",0.0435133712516427
2013-06-18,"ASC","VFD & DUTY",0.148014192070098
2013-06-20,"ASC","VFD & DUTY",0.0811231161591704
2013-06-24,"ASC","GTR & VFD & DUTY",0.0694928340155776
2013-06-26,"ASC","GTR & VFD & DUTY",0.0502766247410562
2013-06-28,"ASC","GTR & VFD & DUTY",0.0453842116892492
2013-07-09,"ASC","GTR & VFD & DUTY",0.0407720044113318
2013-07-11,"ASC","GTR & VFD & DUTY",0.0489214211521167
2013-10-22,"ASC","VFD",0.0480609517991088
2013-03-18,"BHE","VFD",0.0417666198142683
2013-03-20,"BHE","VFD",0.0757995667050699
2013-03-22,"BHE","VFD",0.0749653399279707
2013-03-26,"BHE","VFD",0.129326221471073
2013-03-28,"BHE","VFD",0.115772898349285
2013-10-22,"BHE","VFD",0.122414733614046
2013-10-24,"BHE","VFD",0.0540077916025112
2013-10-28,"BHE","VFD",0.130852945676589
2013-11-01,"BHE","VFD",0.0469305769023869
2012-11-26,"BKS","VFD",0.129016220784079
2012-11-30,"BKS","VFD",0.0656169338831306
2012-12-04,"BKS","VFD",0.115143053205206
2012-12-06,"BKS","VFD",0.0761751035303785
2013-03-04,"BKS","VFD",0.0323030901995965
2013-03-06,"BKS","VFD",0.0686851868932777
2013-03-08,"BKS","VFD",0.0890896511408185
2013-03-12,"BKS","VFD",0.0815581263494946
2013-10-22,"BKS","VFD",0.248350568196303
2013-10-24,"BKS","VFD",0.226701461147169
2013-10-28,"BKS","VFD",0.07998210024493
2013-11-01,"BKS","VFD",0.172221500617495
2013-03-18,"BRI","GTR",0.294011902123106
2013-03-20,"BRI","GTR",0.112924087565341
